work_family_id,pix_id,pix_title_internal,source_audio_path,local_original_path,selection_status,notes
WORK-NO-MYSTERY,PIX-NO-MYSTERY-BILLY-HARPER-VOCAL,I'm No Mystery,/pix/no-mystery/source-audio/no-mystery-billy-harper-vocal-source.mp3,"/Users/gputnammusicllc/Desktop/NO_MYSTERY_TWO_ONLY/02 I'm No Mystery.mp3",IDENTITY_MATCHED_BY_MANUAL_DRAG,Use only this Billy Harper vocal source for this PIX.
WORK-NO-MYSTERY,PIX-NO-MYSTERY-CHRIS-KRAUSE,No Mystery,/pix/no-mystery/source-audio/no-mystery-chris-krause-source.mp3,"/Users/gputnammusicllc/Desktop/NO_MYSTERY_TWO_ONLY/03 No Mystery.mp3",IDENTITY_MATCHED_BY_MANUAL_DRAG,Use only this Chris Krause source for this PIX.
