pix_id,pix_title_internal,source_audio_path,artist_hint,writer_owner,right_status,holiday_only,holiday_restriction,full_song_themes,full_song_moods,full_song_feelings,genre,instrumentation,vocal_type,lyrics_path,structure_path,source_proof_path,ingestion_status,notes
PIX-FD-NO-MYSTERY,No Mystery,,Billy Harper,,,false,,"Father's Day; Cowboy / Western Dad; Strong / Steady Dad",,,,,,,data/fathers-day/no-mystery-kk-structure-standard.json,data/fathers-day/fathers-day-source-authority.json,AUTHORITY_CAPTURED,"Non-holiday PIX allowed for Father's Day fit where exact KK audio supports it."
PIX-FD-LIFES-A-TEST,Life’s a Test,,Brandon Howard,,,false,,"Father's Day; Strong / Steady Dad; Guidance",,,,,,,,data/fathers-day/fathers-day-source-authority.json,AUTHORITY_CAPTURED,"Non-holiday PIX allowed for Father's Day fit where exact KK audio supports it."
PIX-FD-THATS-A-HAVE-TO,That’s a Have To,,Jade Lotzow,,,false,,"Father's Day; Strong / Steady Dad; Duty; Support",,,,,,,,data/fathers-day/fathers-day-source-authority.json,AUTHORITY_CAPTURED,"Non-holiday PIX allowed for Father's Day fit where exact KK audio supports it."
PIX-FD-HAVE-TO-DUET,Have-To duet,,Jade & Aaron Lotzow,,,false,,"Father's Day; Family; Support",,,,,,,,data/fathers-day/fathers-day-source-authority.json,AUTHORITY_CAPTURED,"Non-holiday PIX allowed for Father's Day fit where exact KK audio supports it."
PIX-FD-EMPTY-CHAIR,That Empty Chair,,Lloyd Miller,,,false,,"Father's Day; Miss You Dad; Grief; Remembrance",,,,,,,,data/fathers-day/fathers-day-source-authority.json,AUTHORITY_CAPTURED,"Non-holiday PIX allowed for Father's Day fit where exact KK audio supports it."
PIX-FD-RING-THE-BELL,Ring the Bell,,,,,false,,"Father's Day; Pride; Respect; Celebration",,,,,,,,data/fathers-day/fathers-day-source-authority.json,AUTHORITY_CAPTURED,"Non-holiday PIX allowed for Father's Day fit where exact KK audio supports it."
